sensor,subset_id,sample_id
RedEdge,000,frame0008
RedEdge,000,frame0009
RedEdge,000,frame0020
RedEdge,000,frame0021
RedEdge,000,frame0022
RedEdge,000,frame0023
RedEdge,000,frame0032
RedEdge,000,frame0033
RedEdge,000,frame0034
RedEdge,000,frame0035
RedEdge,000,frame0036
RedEdge,000,frame0037
RedEdge,000,frame0045
RedEdge,000,frame0046
RedEdge,000,frame0047
RedEdge,000,frame0048
RedEdge,000,frame0049
RedEdge,000,frame0050
RedEdge,000,frame0051
RedEdge,000,frame0057
RedEdge,000,frame0058
RedEdge,000,frame0059
RedEdge,000,frame0060
RedEdge,000,frame0061
RedEdge,000,frame0062
RedEdge,000,frame0063
RedEdge,000,frame0064
RedEdge,000,frame0069
RedEdge,000,frame0070
RedEdge,000,frame0071
RedEdge,000,frame0072
RedEdge,000,frame0073
RedEdge,000,frame0074
RedEdge,000,frame0075
RedEdge,000,frame0076
RedEdge,000,frame0077
RedEdge,000,frame0081
RedEdge,000,frame0082
RedEdge,000,frame0083
RedEdge,000,frame0084
RedEdge,000,frame0085
RedEdge,000,frame0086
RedEdge,000,frame0087
RedEdge,000,frame0088
RedEdge,000,frame0089
RedEdge,000,frame0094
RedEdge,000,frame0095
RedEdge,000,frame0096
RedEdge,000,frame0097
RedEdge,000,frame0098
RedEdge,000,frame0099
RedEdge,000,frame0100
RedEdge,000,frame0106
RedEdge,000,frame0107
RedEdge,000,frame0108
RedEdge,000,frame0109
RedEdge,000,frame0110
RedEdge,000,frame0111
RedEdge,000,frame0112
RedEdge,000,frame0119
RedEdge,000,frame0120
RedEdge,000,frame0121
RedEdge,000,frame0122
RedEdge,000,frame0123
RedEdge,000,frame0124
RedEdge,000,frame0130
RedEdge,000,frame0131
RedEdge,000,frame0132
RedEdge,000,frame0133
RedEdge,000,frame0134
RedEdge,000,frame0135
RedEdge,000,frame0136
RedEdge,000,frame0137
RedEdge,000,frame0143
RedEdge,000,frame0144
RedEdge,000,frame0145
RedEdge,000,frame0146
RedEdge,000,frame0147
RedEdge,000,frame0148
RedEdge,000,frame0149
RedEdge,000,frame0150
RedEdge,000,frame0156
RedEdge,000,frame0157
RedEdge,000,frame0158
RedEdge,000,frame0159
RedEdge,000,frame0160
RedEdge,000,frame0161
RedEdge,000,frame0162
RedEdge,000,frame0169
RedEdge,000,frame0170
RedEdge,000,frame0171
RedEdge,000,frame0172
RedEdge,000,frame0173
RedEdge,000,frame0174
RedEdge,000,frame0183
RedEdge,000,frame0184
RedEdge,000,frame0185
RedEdge,000,frame0186
RedEdge,000,frame0187
RedEdge,000,frame0196
RedEdge,000,frame0197
RedEdge,000,frame0198
RedEdge,000,frame0199
RedEdge,000,frame0210
RedEdge,000,frame0211
RedEdge,001,frame0006
RedEdge,001,frame0007
RedEdge,001,frame0008
RedEdge,001,frame0009
RedEdge,001,frame0016
RedEdge,001,frame0017
RedEdge,001,frame0018
RedEdge,001,frame0019
RedEdge,001,frame0020
RedEdge,001,frame0026
RedEdge,001,frame0027
RedEdge,001,frame0028
RedEdge,001,frame0029
RedEdge,001,frame0030
RedEdge,001,frame0031
RedEdge,001,frame0037
RedEdge,001,frame0038
RedEdge,001,frame0039
RedEdge,001,frame0040
RedEdge,001,frame0041
RedEdge,001,frame0042
RedEdge,001,frame0043
RedEdge,001,frame0047
RedEdge,001,frame0048
RedEdge,001,frame0049
RedEdge,001,frame0050
RedEdge,001,frame0051
RedEdge,001,frame0052
RedEdge,001,frame0053
RedEdge,001,frame0054
RedEdge,001,frame0058
RedEdge,001,frame0059
RedEdge,001,frame0060
RedEdge,001,frame0061
RedEdge,001,frame0062
RedEdge,001,frame0063
RedEdge,001,frame0064
RedEdge,001,frame0068
RedEdge,001,frame0069
RedEdge,001,frame0070
RedEdge,001,frame0071
RedEdge,001,frame0072
RedEdge,001,frame0073
RedEdge,001,frame0074
RedEdge,001,frame0079
RedEdge,001,frame0080
RedEdge,001,frame0081
RedEdge,001,frame0082
RedEdge,001,frame0083
RedEdge,001,frame0084
RedEdge,001,frame0085
RedEdge,001,frame0090
RedEdge,001,frame0091
RedEdge,001,frame0092
RedEdge,001,frame0093
RedEdge,001,frame0094
RedEdge,001,frame0095
RedEdge,001,frame0100
RedEdge,001,frame0101
RedEdge,001,frame0102
